Продукт,сладость,хруст,класс
Яблоко,7,7,Фрукт
Чипсы,1,8,Снэки
Сухари,1,8,Снэки
Абрикосы,7,7,Фрукт
Картофель,6,9,Овощ
Абельмош,4,7,Овощ
Артишок,1,6,Овощ
Папайя,9,8,Фрукт
Семечки,1,7,Снэки
Баклажан,8,3,Фрукт
Сушки,6,8,Снэки
Виноград,8,2,Фрукт
Бекон,3,3,Протеин
Печенье,5,3,Снэки
Тыква,8,9,Овощ
Каперсы,6,8,Овощ
Арбуз,7,1,Фрукт
Киви,7,5,Фрукт
Папайя,9,8,Фрукт
Крекер,4,5,Снэки
Фисташки,1,4,Снэки
Печенье,5,3,Снэки
Кольбари,3,7,Овощ
Арахис,4,4,Снэки
Клюква,8,2,Фрукт
Сливки,2,4,Протеин
Ветчина,1,5,Протеин
Каперсы,6,9,Овощ
Камбала,3,2,Протеин
Шпинат,3,8,Овощ
Помидоры,7,3,Фрукт
Бобы,3,6,Овощ
Инжир,7,6,Фрукт
Вишня,8,3,Фрукт
Желтый полосатик,1,3,Снэки
Персики,9,8,Фрукт
Картофель,6,6,Овощ
Груша,7,5,Фрукт
Говядина,3,3,Протеин
Шпинат,5,6,Овощ
Салат,3,7,Овощ
Кукурузные палочки,4,8,Снэки
Попкорн,5,7,Снэки
Тыква,8,9,Овощ
Сосиски,1,2,Протеин
Кальмар,2,2,Снэки
Печенье,5,3,Снэки
Ветчина,2,3,Протеин
Крендельки,4,3,Снэки
Горох,5,7,Овощ
Пикша,2,5,Протеин
Наггетсы,2,3,Снэки
Кальмар,2,5,Снэки
Цуккини,2,8,Овощ
Сыр,3,3,Протеин
Артишоки,4,8,Овощ
Латук,1,8,Овощ
Луковые кольца,4,7,Овощ
Салат,5,8,Овощ
Дыня,7,4,Фрукт
Горох,3,7,Овощ
Картофель Фри,1,4,Снэки
Салями,2,5,Протеин
Кальмар,2,2,Снэки
Редис,6,6,Овощ
Цуккини,6,7,Овощ
Свинина,3,2,Протеин
Кальмар,2,2,Снэки
Ветчина,1,5,Протеин
Тунец,3,1,Протеин
Говядина,1,1,Протеин
Сардины,1,1,Протеин
Шалот,5,9,Овощ
Ветчина,2,1,Протеин
Ягоды,7,9,Фрукт
Мангольд,6,9,Овощ
Груша,9,9,Фрукт
Хидзики,6,7,Овощ
Яйца,3,1,Протеин
Абрикос,9,5,Фрукт
Абельмош,4,7,Овощ
Говядина,2,2,Протеин
Клюква,7,8,Фрукт
Мангольд,4,7,Овощ
Лайм,7,7,Фрукт
Сыр,2,3,Протеин
Огурец,3,7,Овощ
Бок-чой,3,7,Овощ
Телятина,2,1,Протеин
Капуста,3,8,Овощ
Брокколи,3,6,Овощ
Скумбрия,2,3,Протеин
Картофель Фри,1,4,Снэки
Бекон,3,3,Протеин
Чеснок,2,9,Овощ
Шпинат,2,6,Овощ
Салями,3,2,Протеин
Зелень,1,9,Овощ
Наггетсы,2,3,Снэки
Кальмар,2,5,Снэки
Мангостан,9,6,Фрукт
Фасоль,3,9,Овощ
Кольбари,5,9,Овощ
Почки,1,5,Протеин
Сельдь,2,4,Протеин
Репа,1,6,Овощ
Сельдь,3,2,Протеин
Баклажан,8,2,Фрукт
Сардины,2,4,Протеин
Картофель Фри,1,4,Снэки
Лайм,7,7,Фрукт
Сардины,3,5,Протеин
Морковь,2,6,Овощ
Бок-чой,3,7,Овощ
Ежевика,9,3,Фрукт
Почки,1,5,Протеин
Гранат,8,7,Фрукт
Яблоко,7,7,Фрукт
Виноград,7,2,Фрукт
Кольбари,2,8,Овощ
Брокколи,4,8,Овощ
Треска,3,1,Протеин
Ветчина,3,3,Протеин
Вишня,8,5,Фрукт
Мангостан,9,6,Фрукт
Смородина,8,7,Фрукт
Черника,7,2,Фрукт
Картофель Фри,1,4,Снэки
Ревень,5,9,Овощ
Руккола,2,6,Овощ
Наггетсы,2,3,Снэки
Кальмар,2,5,Снэки
Репа,3,6,Овощ
Масло,1,5,Протеин
Киви,8,1,Фрукт
Курица,3,1,Протеин
Капуста,4,9,Овощ
Финики,9,4,Фрукт
Корнишоны,4,8,Овощ
Бобы,4,9,Овощ
Сардины,2,5,Протеин
Чипсы,1,8,Снэки
Сухари,1,8,Снэки
Треска,1,3,Протеин
Картофель,3,7,Овощ
Эндивий,4,6,Овощ
Сельдь,2,3,Протеин
Наггетсы,2,3,Снэки
Кальмар,2,5,Снэки
Баклажан,7,6,Фрукт
Скумбрия,2,1,Протеин
Горох,7,1,Фрукт
Почки,1,5,Протеин
