Продукт,сладость,хруст,класс
Сардины,2,2,Протеин
Ягоды,9,2,Фрукт
Пикша,3,1,Протеин
Горох,7,1,Фрукт
Скумбрия,3,2,Протеин
Ежевика,8,2,Фрукт
Гуава,9,1,Фрукт
Сардины,3,3,Протеин
Почки,1,5,Протеин
Мангостан,9,6,Фрукт
Зелень,3,7,Овощ
Смородина,7,8,Фрукт
Бок-чой,3,7,Овощ
Треска,1,3,Протеин
Сливки,2,5,Протеин
Руккола,6,6,Овощ
Почки,2,3,Протеин
Сыр,3,3,Протеин
Личи,7,3,Фрукт
Редис,6,7,Овощ
Лайм,7,7,Фрукт
Тунец,3,2,Протеин
Редис,5,7,Овощ
Брокколи,1,6,Овощ
Абельмош,4,7,Овощ
Картофель,4,7,Овощ
Брокколи,6,8,Овощ
Гуава,8,7,Фрукт
Скумбрия,2,3,Протеин
Бекон,3,5,Протеин
Радиккьо,6,7,Овощ
Тыква,8,9,Овощ
Салями,2,2,Протеин
Морковь,6,7,Овощ
Клюква,9,9,Фрукт
Можжевельник,8,2,Фрукт
Баранина,2,3,Протеин
Бузина,8,5,Фрукт
Скумбрия,3,1,Протеин
Брокколи,1,6,Овощ
Артишоки,3,9,Овощ
Вишня,7,9,Фрукт
Камбала,3,4,Протеин
Радиккьо,1,7,Овощ
Скумбрия,2,1,Протеин
Утка,2,5,Протеин
Яйца,3,3,Протеин
Сыр,2,4,Протеин
Анчоусы,3,4,Протеин
Почки,1,4,Протеин
Салат,1,6,Овощ
Брокколи,3,6,Овощ
Тыква,8,6,Овощ
Личи,7,3,Фрукт
Карамбола,8,2,Фрукт
Капуста,1,6,Овощ
Мушула,9,6,Фрукт
Банан,8,7,Фрукт
Салями,3,2,Протеин
Мангостан,8,5,Фрукт
Бекон,3,4,Протеин
Сливки,3,1,Протеин
Картофель,5,6,Овощ
Смородина,8,1,Фрукт
Капуста,3,9,Овощ
Сельдь,1,2,Протеин
Перец,2,7,Овощ
Малина,3,8,Фрукт
Спаржа,6,7,Овощ
Персики,8,2,Фрукт
Горох,5,8,Овощ
Черника,9,4,Фрукт
Персики,9,6,Фрукт
Оливки,9,7,Фрукт
Лайм,9,6,Фрукт
Сельдерей,6,9,Овощ
Перец,3,8,Овощ
Печень,2,2,Протеин
Апельсины,7,3,Фрукт
Карамбола,8,8,Фрукт
Говядина,2,1,Протеин
Папайя,9,6,Фрукт
Индейка,2,1,Протеин
Картофель,3,6,Овощ
Ветчина,2,1,Протеин
Свинина,3,2,Протеин
Питайя,7,9,Фрукт
Инжир,9,8,Фрукт
Руккола,4,8,Овощ
Фейхоа,8,8,Фрукт
Горох,3,6,Овощ
Личи,8,7,Фрукт
Изюм,9,9,Фрукт
Огурец,4,9,Овощ
Дыня,9,7,Фрукт
Лосось,2,2,Протеин
Баранина,3,5,Протеин
Телятина,1,1,Протеин
Гранат,9,7,Фрукт
Годжи,8,5,Фрукт
Брокколи,4,8,Овощ
Редис,5,7,Овощ
Мангольд,1,7,Овощ
Черника,8,4,Фрукт
Анчоусы,3,4,Протеин
Сыр,2,5,Протеин
Баранина,1,5,Протеин
Перец,4,7,Овощ
Горох,6,6,Овощ
Салат,1,7,Овощ
Сыр,1,5,Протеин
Кумкват,9,5,Фрукт
Питайя,7,7,Фрукт
Сосиски,1,2,Протеин
Мангольд,3,6,Овощ
Сельдь,3,4,Протеин
Черника,8,9,Фрукт
Капуста,4,6,Овощ
Сыр,2,5,Протеин
Персик,8,6,Фрукт
Руккола,6,7,Овощ
Шалот,5,6,Овощ
Говядина,2,2,Протеин
Сливки,3,5,Протеин
Груша,8,6,Фрукт
Горох,5,6,Овощ
Перец,2,9,Овощ
Ветчина,1,4,Протеин
Абельмош,4,8,Овощ
Дыня,8,6,Фрукт
Телятина,2,3,Протеин
Авокадо,7,7,Фрукт
Хидзики,3,6,Овощ
Камбала,3,3,Протеин
Брокколи,2,6,Овощ
Морковь,4,6,Овощ
Масло,3,5,Протеин
Эндивий,3,6,Овощ
Бекон,2,5,Протеин
Капуста,2,8,Овощ
Грейпфрут,8,3,Фрукт
Бобы,3,6,Овощ
Свинина,2,2,Протеин
Сыр,2,1,Протеин
Треска,3,1,Протеин
Порей,4,6,Овощ
